Rosalind_7900 Rosalind_2602
Rosalind_0780 Rosalind_7630
Rosalind_5031 Rosalind_9831
Rosalind_8370 Rosalind_8078
Rosalind_8370 Rosalind_3949
Rosalind_3291 Rosalind_3296
Rosalind_7297 Rosalind_2581
Rosalind_7297 Rosalind_5550
Rosalind_8326 Rosalind_2064
Rosalind_8326 Rosalind_0405
Rosalind_8326 Rosalind_8742
Rosalind_4215 Rosalind_1605
Rosalind_4215 Rosalind_1416
Rosalind_4215 Rosalind_3610
Rosalind_2064 Rosalind_5430
Rosalind_2064 Rosalind_3856
Rosalind_2064 Rosalind_5752
Rosalind_8392 Rosalind_1252
Rosalind_8102 Rosalind_5430
Rosalind_8102 Rosalind_3856
Rosalind_8102 Rosalind_5752
Rosalind_3296 Rosalind_7630
Rosalind_8168 Rosalind_5565
Rosalind_8168 Rosalind_2966
Rosalind_2732 Rosalind_6937
Rosalind_9831 Rosalind_4150
Rosalind_9831 Rosalind_0688
Rosalind_0688 Rosalind_7900
Rosalind_0688 Rosalind_2732
Rosalind_0688 Rosalind_9000
Rosalind_0688 Rosalind_7608
Rosalind_2731 Rosalind_8078
Rosalind_2731 Rosalind_3949
Rosalind_2568 Rosalind_6405
Rosalind_2568 Rosalind_8475
Rosalind_0774 Rosalind_6405
Rosalind_0774 Rosalind_8475
Rosalind_5400 Rosalind_1252
Rosalind_6937 Rosalind_4389
Rosalind_2897 Rosalind_5731
Rosalind_2897 Rosalind_5393
Rosalind_2897 Rosalind_4108
Rosalind_5731 Rosalind_2348
Rosalind_5731 Rosalind_7187
Rosalind_2066 Rosalind_4862
Rosalind_7630 Rosalind_8370
Rosalind_7630 Rosalind_3291
Rosalind_2497 Rosalind_5565
Rosalind_2497 Rosalind_2966
Rosalind_2249 Rosalind_9831
Rosalind_5393 Rosalind_0780
Rosalind_5393 Rosalind_1386
Rosalind_5393 Rosalind_9745
Rosalind_8084 Rosalind_4465
Rosalind_8084 Rosalind_2896
Rosalind_1412 Rosalind_1605
Rosalind_1412 Rosalind_1416
Rosalind_1412 Rosalind_3610
Rosalind_7187 Rosalind_2643
Rosalind_7187 Rosalind_7017
Rosalind_6405 Rosalind_3296
Rosalind_8481 Rosalind_2348
Rosalind_8481 Rosalind_7187
Rosalind_0405 Rosalind_5731
Rosalind_0405 Rosalind_5393
Rosalind_0405 Rosalind_4108
Rosalind_4627 Rosalind_8326
Rosalind_4627 Rosalind_2249
Rosalind_5430 Rosalind_6008
Rosalind_5430 Rosalind_7856
Rosalind_0827 Rosalind_6405
Rosalind_0827 Rosalind_8475
Rosalind_2966 Rosalind_6852
Rosalind_2966 Rosalind_4991
Rosalind_2966 Rosalind_7291
Rosalind_9694 Rosalind_5171
Rosalind_9694 Rosalind_2311
Rosalind_6008 Rosalind_2643
Rosalind_6008 Rosalind_7017
Rosalind_5621 Rosalind_3296
Rosalind_7081 Rosalind_4465
Rosalind_7081 Rosalind_2896
Rosalind_6387 Rosalind_4150
Rosalind_6387 Rosalind_0688
Rosalind_8078 Rosalind_1605
Rosalind_8078 Rosalind_1416
Rosalind_8078 Rosalind_3610
Rosalind_6189 Rosalind_2497
Rosalind_6189 Rosalind_0706
Rosalind_5171 Rosalind_7351
Rosalind_5171 Rosalind_8962
Rosalind_5171 Rosalind_2943
Rosalind_6852 Rosalind_8392
Rosalind_2896 Rosalind_7297
Rosalind_2896 Rosalind_2731
Rosalind_2896 Rosalind_0774
Rosalind_2896 Rosalind_5621
Rosalind_3346 Rosalind_8326
Rosalind_3346 Rosalind_2249
Rosalind_7351 Rosalind_7316
Rosalind_1416 Rosalind_1605
Rosalind_1416 Rosalind_3610
Rosalind_3949 Rosalind_2581
Rosalind_3949 Rosalind_5550
Rosalind_3856 Rosalind_8207
Rosalind_8207 Rosalind_6937
Rosalind_6680 Rosalind_4389
Rosalind_7466 Rosalind_7736
Rosalind_7589 Rosalind_4389
Rosalind_7017 Rosalind_8168
Rosalind_7017 Rosalind_6137
Rosalind_7017 Rosalind_2066
Rosalind_3610 Rosalind_6405
Rosalind_3610 Rosalind_8475
Rosalind_5550 Rosalind_6852
Rosalind_5550 Rosalind_4991
Rosalind_5550 Rosalind_7291
Rosalind_7608 Rosalind_4627
Rosalind_7608 Rosalind_4476
Rosalind_2760 Rosalind_7297
Rosalind_2760 Rosalind_2731
Rosalind_2760 Rosalind_0774
Rosalind_2760 Rosalind_5621
Rosalind_8475 Rosalind_5400
Rosalind_9088 Rosalind_2568
Rosalind_9088 Rosalind_2760
Rosalind_1386 Rosalind_7900
Rosalind_1386 Rosalind_2732
Rosalind_1386 Rosalind_9000
Rosalind_1386 Rosalind_7608
Rosalind_2943 Rosalind_1605
Rosalind_2943 Rosalind_1416
Rosalind_2943 Rosalind_3610
Rosalind_2540 Rosalind_4215
Rosalind_5765 Rosalind_5171
Rosalind_5765 Rosalind_2311
Rosalind_9745 Rosalind_1252
Rosalind_1851 Rosalind_2897
Rosalind_1851 Rosalind_1412
Rosalind_1851 Rosalind_2540
Rosalind_9219 Rosalind_8078
Rosalind_9219 Rosalind_3949
Rosalind_8742 Rosalind_4215
Rosalind_4991 Rosalind_8078
Rosalind_4991 Rosalind_3949
Rosalind_7291 Rosalind_7630
